id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
4920389,头号玩家,,https://dou.img.lithub.cc/movie/4920389.jpg,2018-03-30(中国大陆),https://movie.douban.com/subject/4920389/,8.6,"动作,科幻,冒险",5,,"VR,虚拟现实,科幻",2020-09-29 18:57:58,2018 / 美国 / 动作 科幻 冒险 / 史蒂文·斯皮尔伯格 / 泰伊·谢里丹 奥利维亚·库克
26100958,复仇者联盟4：终局之战,,https://dou.img.lithub.cc/movie/26100958.jpg,2019-04-24(中国大陆),https://movie.douban.com/subject/26100958/,8.5,"剧情,动作,科幻",5,,"科幻,史诗,漫威,情怀",2020-09-29 18:54:07,2019 / 美国 / 剧情 动作 科幻 奇幻 冒险 / 安东尼·罗素 乔·罗素 / 小罗伯特·唐尼 克里斯·埃文斯
27060077,绿皮书,,https://dou.img.lithub.cc/movie/27060077.jpg,2019-03-01(中国大陆),https://movie.douban.com/subject/27060077/,8.9,"剧情,喜剧,音乐",5,,"真实事件改编,人性,温情",2020-09-29 18:53:46,2018 / 美国 中国大陆 / 剧情 喜剧 音乐 传记 / 彼得·法雷里 / 维果·莫腾森 马赫沙拉·阿里
30170448,何以为家,,https://dou.img.lithub.cc/movie/30170448.jpg,2019-04-29(中国大陆),https://movie.douban.com/subject/30170448/,9.1,剧情,5,,"人性,儿童,成长",2020-09-29 18:53:15,2018 / 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情 / 娜丁·拉巴基 / 赞恩·阿尔·拉菲亚 约丹诺斯·希费罗
30331149,白蛇：缘起,,https://dou.img.lithub.cc/movie/30331149.jpg,2019-01-11(中国大陆),https://movie.douban.com/subject/30331149/,7.8,"爱情,动画,奇幻",4,,"爱情,神话",2020-09-29 18:52:50,2019 / 中国大陆 美国 / 爱情 动画 奇幻 / 黄家康 赵霁 / 张喆 杨天翔
26709258,罗小黑战记,,https://dou.img.lithub.cc/movie/26709258.jpg,2019-09-07(中国大陆),https://movie.douban.com/subject/26709258/,8,"动作,动画,奇幻",5,,"温情,中国大陆,治愈,成长",2020-09-29 18:52:26,2019 / 中国大陆 / 动作 动画 奇幻 / 木头 / 山新 郝祥海
26266893,流浪地球,,https://dou.img.lithub.cc/movie/26266893.jpg,2019-02-05(中国大陆),https://movie.douban.com/subject/26266893/,7.9,"科幻,冒险,灾难",4,,"奇幻,小说改编,太空,科幻",2020-09-29 18:51:48,2019 / 中国大陆 / 科幻 冒险 灾难 / 郭帆 / 吴京 屈楚萧
30166972,少年的你,,https://dou.img.lithub.cc/movie/30166972.jpg,2019-10-25(中国大陆),https://movie.douban.com/subject/30166972/,8.2,"剧情,爱情,犯罪",4,,"人性,青春,成长",2020-09-29 18:51:25,2019 / 中国大陆 中国香港 / 剧情 爱情 犯罪 / 曾国祥 / 周冬雨 易烊千玺
26794435,哪吒之魔童降世,,https://dou.img.lithub.cc/movie/26794435.jpg,2019-07-26(中国大陆),https://movie.douban.com/subject/26794435/,8.4,"剧情,喜剧,动画",4,,"人性,成长",2020-09-29 18:50:56,2019 / 中国大陆 / 剧情 喜剧 动画 奇幻 / 饺子 / 吕艳婷 囧森瑟夫
32659890,我和我的祖国,,https://dou.img.lithub.cc/movie/32659890.jpg,2019-09-30(中国大陆),https://movie.douban.com/subject/32659890/,7.6,剧情,4,,"爱国,建国70周年,历史,感动",2020-09-29 18:50:32,2019 / 中国大陆 / 剧情 / 陈凯歌 张一白 管虎 薛晓路 徐峥 宁浩 文牧野 / 黄渤 张译
1292213,大话西游之大圣娶亲,,https://dou.img.lithub.cc/movie/1292213.jpg,2014-10-24(中国大陆),https://movie.douban.com/subject/1292213/,9.2,"喜剧,爱情,奇幻",5,,"经典,感人,搞笑",2020-09-29 18:49:20,1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装 / 刘镇伟 / 周星驰 吴孟达
33442331,我是余欢水,,https://dou.img.lithub.cc/movie/33442331.jpg,2020-04-06(中国大陆),https://movie.douban.com/subject/33442331/,7.3,剧情,4,,"人性,剧情,现实,黑色幽默",2020-09-29 18:47:28,2020 / 中国大陆 / 剧情 / 孙墨龙 / 郭京飞 苗苗
27052168,破冰行动,,https://dou.img.lithub.cc/movie/27052168.jpg,2019-05-07(中国大陆),https://movie.douban.com/subject/27052168/,6.8,"剧情,悬疑,犯罪",4,,"毒品,警匪,悬疑,真实事件改编",2020-09-29 18:47:01,2019 / 中国大陆 / 剧情 悬疑 犯罪 / 傅东育 刘璋牧 李理 / 黄景瑜 吴刚
25853071,庆余年 第一季,,https://dou.img.lithub.cc/movie/25853071.jpg,2019-11-26(中国大陆),https://movie.douban.com/subject/25853071/,7.9,"剧情,古装",4,,"权谋,搞笑,剧情",2020-09-29 18:46:10,2019 / 中国大陆 / 剧情 古装 / 孙皓 / 张若昀 李沁
26986843,十日游戏,,https://dou.img.lithub.cc/movie/26986843.jpg,2020-06-02(中国大陆),https://movie.douban.com/subject/26986843/,7,"爱情,悬疑,犯罪",4,,"东野圭吾,犯罪,推理,悬疑",2020-09-29 18:45:31,2020 / 中国大陆 / 爱情 悬疑 犯罪 / 臧溪川 / 朱亚文 金晨
33447642,沉默的真相,,https://dou.img.lithub.cc/movie/33447642.jpg,2020-09-16(中国大陆),https://movie.douban.com/subject/33447642/,9,"剧情,悬疑,犯罪",5,,,2020-09-29 18:40:43,2020 / 中国大陆 / 剧情 悬疑 犯罪 / 陈奕甫 / 廖凡 白宇
30444960,信条,,https://dou.img.lithub.cc/movie/30444960.jpg,2020-09-04(中国大陆),https://movie.douban.com/subject/30444960/,7.6,"剧情,动作,科幻",4,,"科幻,烧脑",2020-09-12 15:21:16,2020 / 美国 英国 / 剧情 动作 科幻 / 克里斯托弗·诺兰 / 约翰·大卫·华盛顿 罗伯特·帕丁森
